"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MARUTI","EQ","24-Oct-2019","       7440.25","       7460.00","       7475.00","       7271.00","       7390.00","       7391.40","       7386.60","    1658859","         12253327172.30","     157094"
"MARUTI","EQ","25-Oct-2019","       7391.40","       7396.50","       7509.00","       7353.85","       7460.30","       7471.15","       7442.20","    1353615","         10073877372.65","     164781"
"MARUTI","EQ","27-Oct-2019","       7471.15","       7477.00","       7500.00","       7392.05","       7412.00","       7422.10","       7444.90","     128352","           955568179.00","      12869"
"MARUTI","EQ","29-Oct-2019","       7422.10","       7416.00","       7758.70","       7381.85","       7750.00","       7721.30","       7612.92","    1396732","         10633212797.45","     157536"
"MARUTI","EQ","30-Oct-2019","       7721.30","       7744.00","       7753.65","       7539.70","       7562.00","       7556.95","       7625.75","    1243366","          9481592083.20","     127442"
"MARUTI","EQ","31-Oct-2019","       7556.95","       7612.90","       7645.00","       7502.00","       7559.45","       7559.40","       7568.25","    1067275","          8077406378.60","     109160"
"MARUTI","EQ","01-Nov-2019","       7559.40","       7599.95","       7649.00","       7545.10","       7602.00","       7618.65","       7603.25","    1151035","          8751611320.35","      95019"
"MARUTI","EQ","04-Nov-2019","       7618.65","       7550.00","       7625.00","       7407.45","       7429.95","       7424.00","       7494.28","     824953","          6182428853.75","      75458"
"MARUTI","EQ","05-Nov-2019","       7424.00","       7429.95","       7541.95","       7325.00","       7395.95","       7389.00","       7421.46","    1207089","          8958357460.85","     100603"
"MARUTI","EQ","06-Nov-2019","       7389.00","       7395.00","       7415.00","       7295.00","       7310.00","       7311.15","       7338.92","     923041","          6774124387.20","      76497"
"MARUTI","EQ","07-Nov-2019","       7311.15","       7357.00","       7357.00","       7241.00","       7292.10","       7287.15","       7286.46","     877885","          6396671247.55","      75660"
"MARUTI","EQ","08-Nov-2019","       7287.15","       7286.45","       7370.00","       7178.05","       7192.65","       7200.55","       7286.11","     983936","          7169066091.90","      75540"
"MARUTI","EQ","11-Nov-2019","       7200.55","       7160.00","       7237.45","       7074.00","       7121.30","       7137.30","       7137.71","     864507","          6170601866.10","      82023"
"MARUTI","EQ","13-Nov-2019","       7137.30","       7130.00","       7169.85","       7095.00","       7145.00","       7154.60","       7133.06","     687017","          4900533229.70","      59645"
"MARUTI","EQ","14-Nov-2019","       7154.60","       7160.00","       7270.00","       7160.00","       7246.00","       7247.15","       7232.45","     802462","          5803765744.80","      68287"
"MARUTI","EQ","15-Nov-2019","       7247.15","       7300.00","       7359.00","       7116.20","       7140.00","       7147.20","       7248.07","    1049492","          7606787177.65","      86228"
"MARUTI","EQ","18-Nov-2019","       7147.20","       7150.00","       7177.00","       7075.00","       7105.05","       7098.45","       7120.09","     537228","          3825113892.85","      48810"
"MARUTI","EQ","19-Nov-2019","       7098.45","       7146.00","       7155.00","       7032.00","       7054.00","       7045.45","       7078.54","     755114","          5345101655.45","      82585"
"MARUTI","EQ","20-Nov-2019","       7045.45","       7120.00","       7218.00","       7044.00","       7120.00","       7152.75","       7144.30","    1289948","          9215771943.10","      93566"
"MARUTI","EQ","21-Nov-2019","       7152.75","       7150.00","       7200.00","       7004.80","       7017.00","       7019.05","       7106.45","     763454","          5425444943.40","      67829"
"MARUTI","EQ","22-Nov-2019","       7019.05","       7034.00","       7077.45","       7000.00","       7065.00","       7060.45","       7041.13","     685503","          4826718519.80","      54409"
"MARUTI","EQ","25-Nov-2019","       7060.45","       7075.20","       7263.50","       7040.30","       7238.00","       7236.10","       7180.61","     952419","          6838953466.15","      81904"
"MARUTI","EQ","26-Nov-2019","       7236.10","       7238.00","       7274.00","       7084.00","       7130.00","       7125.00","       7171.27","    1249810","          8962724392.30","      94714"
"MARUTI","EQ","27-Nov-2019","       7125.00","       7166.60","       7300.00","       7166.60","       7299.00","       7294.40","       7254.47","    1070680","          7767211209.75","      86402"
"MARUTI","EQ","28-Nov-2019","       7294.40","       7299.80","       7321.10","       7220.95","       7255.65","       7261.25","       7260.77","     602077","          4371543716.80","      47860"
"MARUTI","EQ","29-Nov-2019","       7261.25","       7254.00","       7293.85","       7132.00","       7253.35","       7245.85","       7215.71","     792083","          5715439563.35","      63587"
"MARUTI","EQ","02-Dec-2019","       7245.85","       7291.00","       7294.85","       7106.75","       7129.00","       7139.35","       7174.28","     703838","          5049534364.55","      54287"
"MARUTI","EQ","03-Dec-2019","       7139.35","       7142.65","       7240.00","       7060.00","       7127.50","       7138.80","       7161.86","     668269","          4786049338.35","      53077"
"MARUTI","EQ","04-Dec-2019","       7138.80","       7129.80","       7170.00","       7052.00","       7076.10","       7076.10","       7101.76","     737723","          5239134460.05","      57207"
"MARUTI","EQ","05-Dec-2019","       7076.10","       7090.00","       7125.15","       6990.55","       6995.00","       7012.85","       7056.26","     602894","          4254176128.55","      53458"
"MARUTI","EQ","06-Dec-2019","       7012.85","       7012.85","       7050.00","       6864.10","       6886.75","       6886.70","       6950.34","     770911","          5358089807.75","      69329"
"MARUTI","EQ","09-Dec-2019","       6886.70","       7007.00","       7108.00","       6952.35","       7011.95","       6994.75","       7023.88","    1479832","         10394166354.70","     115549"
"MARUTI","EQ","10-Dec-2019","       6994.75","       7019.00","       7048.95","       6905.00","       6982.15","       6963.65","       6969.35","     790378","          5508420269.85","      68946"
"MARUTI","EQ","11-Dec-2019","       6963.65","       7000.00","       7035.00","       6955.20","       6985.85","       6993.20","       6993.48","     603048","          4217403800.50","      56994"
"MARUTI","EQ","12-Dec-2019","       6993.20","       7030.40","       7045.95","       6975.50","       7000.00","       6999.80","       7003.06","     932863","          6532893219.80","      56242"
"MARUTI","EQ","13-Dec-2019","       6999.80","       7043.95","       7249.00","       7030.15","       7242.00","       7214.95","       7143.20","    1199360","          8567268416.95","     105681"
"MARUTI","EQ","16-Dec-2019","       7214.95","       7240.00","       7257.70","       7125.00","       7134.95","       7140.05","       7183.39","     727854","          5228458868.55","      59941"
"MARUTI","EQ","17-Dec-2019","       7140.05","       7209.90","       7276.50","       7166.00","       7189.10","       7195.15","       7211.21","     939918","          6777942085.30","      79678"
"MARUTI","EQ","18-Dec-2019","       7195.15","       7220.00","       7254.95","       7164.00","       7240.05","       7240.65","       7209.42","     841740","          6068461334.75","      61450"
"MARUTI","EQ","19-Dec-2019","       7240.65","       7248.95","       7310.00","       7166.00","       7230.00","       7240.65","       7262.25","    1001697","          7274577372.10","      69342"
"MARUTI","EQ","20-Dec-2019","       7240.65","       7240.65","       7304.35","       7227.50","       7255.00","       7261.50","       7265.58","     679779","          4938990587.70","      68095"
"MARUTI","EQ","23-Dec-2019","       7261.50","       7275.00","       7378.60","       7250.10","       7374.70","       7360.90","       7329.56","     914067","          6699709957.00","      69493"
"MARUTI","EQ","24-Dec-2019","       7360.90","       7397.00","       7423.70","       7302.00","       7319.50","       7327.80","       7373.16","     850537","          6271144686.50","      66849"
"MARUTI","EQ","26-Dec-2019","       7327.80","       7334.00","       7343.45","       7222.00","       7237.25","       7240.90","       7282.31","     556360","          4051588542.55","      41162"
"MARUTI","EQ","27-Dec-2019","       7240.90","       7268.00","       7368.50","       7251.40","       7354.20","       7344.90","       7302.96","     665383","          4859265146.05","      44849"
"MARUTI","EQ","30-Dec-2019","       7344.90","       7378.00","       7431.95","       7341.60","       7415.00","       7416.25","       7387.18","     739631","          5463787167.85","      57365"
"MARUTI","EQ","31-Dec-2019","       7416.25","       7412.50","       7412.50","       7355.25","       7370.00","       7368.60","       7377.02","     560622","          4135721059.70","      40633"
"MARUTI","EQ","01-Jan-2020","       7368.60","       7377.00","       7409.95","       7282.05","       7308.00","       7311.70","       7339.10","     634725","          4658307412.85","      42182"
"MARUTI","EQ","02-Jan-2020","       7311.70","       7327.60","       7368.00","       7312.00","       7316.45","       7329.85","       7339.32","     616838","          4527173729.35","      51801"
"MARUTI","EQ","03-Jan-2020","       7329.85","       7328.95","       7332.00","       7226.00","       7250.35","       7254.25","       7275.61","     571967","          4161407040.80","      42037"
"MARUTI","EQ","06-Jan-2020","       7254.25","       7200.00","       7210.00","       7026.50","       7032.00","       7042.40","       7074.03","     748516","          5295028129.05","      64186"
"MARUTI","EQ","07-Jan-2020","       7042.40","       7100.00","       7165.60","       7026.40","       7075.00","       7073.60","       7089.61","     590500","          4186415011.40","      50872"
"MARUTI","EQ","08-Jan-2020","       7073.60","       7060.00","       7116.65","       6980.45","       7035.00","       7035.20","       7034.09","     793313","          5580233047.20","      54674"
"MARUTI","EQ","09-Jan-2020","       7035.20","       7140.00","       7240.00","       7102.00","       7240.00","       7227.90","       7180.72","     798184","          5731536546.55","      60422"
"MARUTI","EQ","10-Jan-2020","       7227.90","       7261.40","       7349.90","       7234.40","       7329.00","       7330.50","       7299.43","     747847","          5458857956.80","      59339"
"MARUTI","EQ","13-Jan-2020","       7330.50","       7332.00","       7370.00","       7279.80","       7364.00","       7352.70","       7325.48","     537399","          3936703056.85","      45690"
"MARUTI","EQ","14-Jan-2020","       7352.70","       7355.00","       7412.40","       7325.60","       7390.00","       7386.80","       7377.09","     548522","          4046494825.80","      46069"
"MARUTI","EQ","15-Jan-2020","       7386.80","       7388.95","       7505.00","       7353.00","       7482.00","       7482.95","       7419.98","     692726","          5140014822.30","      46714"
"MARUTI","EQ","16-Jan-2020","       7482.95","       7456.50","       7521.00","       7421.20","       7469.90","       7462.65","       7466.23","     640207","          4779933299.20","      45686"
"MARUTI","EQ","17-Jan-2020","       7462.65","       7469.00","       7569.90","       7432.55","       7550.85","       7520.15","       7499.26","     750738","          5629978077.55","      49650"
"MARUTI","EQ","20-Jan-2020","       7520.15","       7521.25","       7529.50","       7421.05","       7440.00","       7449.60","       7468.19","     407828","          3045737844.20","      37148"
"MARUTI","EQ","21-Jan-2020","       7449.60","       7411.50","       7434.65","       7287.80","       7297.90","       7302.65","       7350.84","     442561","          3253196112.05","      36589"
"MARUTI","EQ","22-Jan-2020","       7302.65","       7340.00","       7374.95","       7107.95","       7145.00","       7135.60","       7165.57","    1048435","          7512636152.90","      88307"
"MARUTI","EQ","23-Jan-2020","       7135.60","       7145.40","       7220.00","       7123.15","       7132.95","       7147.10","       7163.31","     589326","          4221523381.85","      43298"
"MARUTI","EQ","24-Jan-2020","       7147.10","       7148.80","       7210.00","       7111.25","       7130.00","       7128.45","       7154.51","     645723","          4619831010.25","      50530"
"MARUTI","EQ","27-Jan-2020","       7128.45","       7101.50","       7225.00","       7061.00","       7125.00","       7148.80","       7163.25","     573149","          4105610539.80","      47664"
"MARUTI","EQ","28-Jan-2020","       7148.80","       7179.95","       7219.95","       6963.00","       6999.00","       6997.05","       7076.43","    1614448","         11424531373.55","     151546"
"MARUTI","EQ","29-Jan-2020","       6997.05","       7010.00","       7116.25","       6975.00","       7022.00","       7010.30","       7043.38","    1001252","          7052201123.75","     116694"
"MARUTI","EQ","30-Jan-2020","       7010.30","       7020.00","       7049.00","       6981.00","       7020.00","       7020.45","       7014.30","     579174","          4062497416.75","      48242"
"MARUTI","EQ","31-Jan-2020","       7020.45","       7035.00","       7064.00","       6895.55","       6927.00","       6913.50","       6966.75","     868935","          6053651158.65","      87940"
"MARUTI","EQ","01-Feb-2020","       6913.50","       6915.00","       7109.80","       6740.30","       6775.00","       6812.65","       6939.09","    1412932","          9804458184.70","     149692"
"MARUTI","EQ","03-Feb-2020","       6812.65","       6780.00","       7044.85","       6780.00","       7010.00","       7011.30","       6946.13","    1010531","          7019275548.45","     115802"
"MARUTI","EQ","04-Feb-2020","       7011.30","       7020.00","       7215.00","       7001.00","       7196.30","       7199.60","       7133.75","     973311","          6943361735.55","      77101"
"MARUTI","EQ","05-Feb-2020","       7199.60","       7215.00","       7231.60","       7025.60","       7050.00","       7040.90","       7100.88","     718489","          5101902850.00","      67964"
"MARUTI","EQ","06-Feb-2020","       7040.90","       7075.00","       7120.35","       6976.80","       7014.20","       7021.60","       7040.99","     875714","          6165891109.55","      66469"
"MARUTI","EQ","07-Feb-2020","       7021.60","       7039.00","       7050.00","       6935.00","       6970.00","       6971.75","       6976.03","     645814","          4505215041.00","      55241"
"MARUTI","EQ","10-Feb-2020","       6971.75","       6975.00","       6989.10","       6851.10","       6894.60","       6892.90","       6899.40","     593773","          4096674552.90","      53020"
"MARUTI","EQ","11-Feb-2020","       6892.90","       6950.00","       7089.00","       6912.30","       7026.00","       7033.75","       7035.67","     743160","          5228626894.85","      62908"
"MARUTI","EQ","12-Feb-2020","       7033.75","       7056.10","       7110.00","       7007.95","       7048.00","       7043.30","       7061.19","     599364","          4232221558.10","      42309"
"MARUTI","EQ","13-Feb-2020","       7043.30","       7050.00","       7056.00","       6925.00","       6995.00","       7005.05","       6971.87","     723169","          5041843859.50","      49754"
"MARUTI","EQ","14-Feb-2020","       7005.05","       7000.05","       7088.95","       6901.00","       6915.00","       6913.80","       6988.30","     614859","          4296819104.45","      57126"
"MARUTI","EQ","17-Feb-2020","       6913.80","       6920.00","       6980.00","       6880.00","       6925.00","       6906.75","       6927.10","     463548","          3211043086.15","      33826"
"MARUTI","EQ","18-Feb-2020","       6906.75","       6925.00","       6930.00","       6735.80","       6795.00","       6781.10","       6786.65","     830678","          5637520586.70","      72639"
"MARUTI","EQ","19-Feb-2020","       6781.10","       6850.00","       6854.95","       6624.60","       6763.00","       6756.60","       6734.72","    1033939","          6963293978.80","      98165"
"MARUTI","EQ","20-Feb-2020","       6756.60","       6761.00","       6807.55","       6720.00","       6740.10","       6757.60","       6772.50","     682513","          4622317506.90","      57024"
"MARUTI","EQ","24-Feb-2020","       6757.60","       6710.00","       6710.00","       6439.80","       6475.00","       6470.40","       6552.55","    1091346","          7151099771.80","     116104"
"MARUTI","EQ","25-Feb-2020","       6470.40","       6505.40","       6510.00","       6376.55","       6411.25","       6414.55","       6447.27","     964897","          6220955759.00","     120005"
"MARUTI","EQ","26-Feb-2020","       6414.55","       6350.00","       6368.85","       6186.05","       6260.00","       6234.85","       6285.00","    1580738","          9934932440.00","     116894"
"MARUTI","EQ","27-Feb-2020","       6234.85","       6230.00","       6338.05","       6166.80","       6291.00","       6289.80","       6259.71","    1492657","          9343594036.05","     143056"
"MARUTI","EQ","28-Feb-2020","       6289.80","       6163.05","       6367.35","       6103.20","       6294.05","       6283.10","       6235.61","    1468843","          9159134308.35","     117164"
"MARUTI","EQ","02-Mar-2020","       6283.10","       6400.95","       6439.55","       6250.00","       6300.00","       6285.15","       6332.12","    1219764","          7723695156.50","      96971"
"MARUTI","EQ","03-Mar-2020","       6285.15","       6318.00","       6422.15","       6280.50","       6386.10","       6386.05","       6344.80","     849199","          5388001212.60","      90279"
"MARUTI","EQ","04-Mar-2020","       6386.05","       6390.00","       6424.00","       6209.00","       6380.00","       6384.35","       6334.46","     904360","          5728634377.25","      82506"
"MARUTI","EQ","05-Mar-2020","       6384.35","       6411.90","       6464.00","       6330.20","       6348.00","       6365.95","       6390.88","     645853","          4127568322.90","      65335"
"MARUTI","EQ","06-Mar-2020","       6365.95","       6196.40","       6480.00","       6100.15","       6393.10","       6445.95","       6331.23","    1140899","          7223292485.55","      98103"
"MARUTI","EQ","09-Mar-2020","       6445.95","       6301.00","       6374.00","       6079.40","       6225.00","       6201.10","       6240.68","    1082031","          6752611537.40","     113127"
"MARUTI","EQ","11-Mar-2020","       6201.10","       6160.00","       6310.95","       6105.00","       6137.95","       6146.30","       6177.52","     937029","          5788518295.35","     100403"
"MARUTI","EQ","12-Mar-2020","       6146.30","       5939.30","       5939.30","       5555.55","       5642.25","       5643.15","       5742.20","    1345986","          7728917382.75","     139523"
"MARUTI","EQ","13-Mar-2020","       5643.15","       5325.20","       6063.50","       4803.05","       5900.00","       5838.60","       5608.16","    1480275","          8301616079.85","     151656"
"MARUTI","EQ","16-Mar-2020","       5838.60","       5638.60","       5688.00","       5400.00","       5460.00","       5480.25","       5562.31","     933424","          5191995753.90","     112598"
"MARUTI","EQ","17-Mar-2020","       5480.25","       5502.00","       5746.95","       5502.00","       5600.00","       5603.95","       5646.01","    1238640","          6993371024.15","     127952"
"MARUTI","EQ","18-Mar-2020","       5603.95","       5671.00","       5688.80","       5312.55","       5370.20","       5352.65","       5419.95","     973406","          5275813532.30","     113820"
"MARUTI","EQ","19-Mar-2020","       5352.65","       4870.00","       5096.60","       4652.55","       4859.00","       4819.55","       4874.22","    2554586","         12451621373.00","     250425"
"MARUTI","EQ","20-Mar-2020","       4819.55","       4869.00","       5225.00","       4812.60","       5094.00","       5079.20","       5040.51","    1614608","          8138443331.40","     166562"
"MARUTI","EQ","23-Mar-2020","       5079.20","       4575.00","       4790.00","       4141.00","       4178.00","       4220.35","       4371.69","    1531989","          6697382876.00","     234867"
"MARUTI","EQ","24-Mar-2020","       4220.35","       4341.00","       4570.00","       4030.00","       4545.00","       4486.45","       4361.25","    1746713","          7617859746.45","     186957"
"MARUTI","EQ","25-Mar-2020","       4486.45","       4439.00","       5159.40","       4310.10","       4960.00","       5005.95","       4785.80","    1728820","          8273787423.90","     172520"
"MARUTI","EQ","26-Mar-2020","       5005.95","       5024.45","       5120.00","       4750.00","       4950.00","       4878.00","       4926.22","    1338798","          6595206823.45","     162802"
"MARUTI","EQ","27-Mar-2020","       4878.00","       5100.00","       5136.50","       4555.00","       4655.00","       4646.10","       4753.66","    1339446","          6367269207.60","     173761"
"MARUTI","EQ","30-Mar-2020","       4646.10","       4587.45","       4639.95","       4270.00","       4360.00","       4328.45","       4423.18","    1528083","          6758982842.00","     157181"
"MARUTI","EQ","31-Mar-2020","       4328.45","       4450.00","       4468.05","       4210.00","       4288.30","       4288.30","       4288.74","    2140288","          9179135849.65","     200296"
"MARUTI","EQ","01-Apr-2020","       4288.30","       4290.00","       4424.85","       4190.10","       4229.00","       4246.35","       4273.79","    1323857","          5657889879.15","     147374"
"MARUTI","EQ","03-Apr-2020","       4246.35","       4250.00","       4267.00","       4001.10","       4011.50","       4011.50","       4099.78","    1724863","          7071562250.80","     174626"
"MARUTI","EQ","07-Apr-2020","       4011.50","       4150.00","       4612.90","       4120.00","       4525.95","       4553.65","       4325.97","    2688425","         11630036387.35","     257463"
"MARUTI","EQ","08-Apr-2020","       4553.65","       4406.50","       4925.00","       4406.50","       4700.00","       4698.10","       4702.68","    2798838","         13162032684.55","     252470"
"MARUTI","EQ","09-Apr-2020","       4698.10","       4794.45","       5399.00","       4736.20","       5350.00","       5326.65","       5116.97","    3786661","         19376215716.55","     310721"
"MARUTI","EQ","13-Apr-2020","       5326.65","       5285.00","       5343.40","       5001.00","       5270.00","       5283.15","       5166.27","    2192269","         11325858702.60","     221195"
"MARUTI","EQ","15-Apr-2020","       5283.15","       5307.50","       5350.00","       5041.00","       5090.00","       5094.30","       5211.13","    2094529","         10914872831.65","     195907"
"MARUTI","EQ","16-Apr-2020","       5094.30","       5017.00","       5228.00","       4970.00","       5148.00","       5130.80","       5112.87","    1752170","          8958615439.60","     161573"
"MARUTI","EQ","17-Apr-2020","       5130.80","       5325.00","       5602.95","       5211.70","       5579.00","       5505.00","       5357.87","    2192907","         11749309949.15","     188848"
"MARUTI","EQ","20-Apr-2020","       5505.00","       5512.00","       5573.95","       5280.00","       5297.30","       5331.35","       5390.28","    1555313","          8383579546.40","     133978"
"MARUTI","EQ","21-Apr-2020","       5331.35","       5131.30","       5131.30","       4884.50","       5009.95","       5001.10","       5001.21","    1843174","          9218104936.15","     174888"
"MARUTI","EQ","22-Apr-2020","       5001.10","       5009.00","       5248.25","       4991.00","       5168.00","       5180.85","       5134.59","    1991789","         10227014548.90","     161876"
"MARUTI","EQ","23-Apr-2020","       5180.85","       5169.00","       5244.60","       5045.00","       5160.00","       5156.35","       5172.04","    1454065","          7520481407.15","     105193"
"MARUTI","EQ","24-Apr-2020","       5156.35","       5100.00","       5140.00","       5030.00","       5050.00","       5045.65","       5082.53","    1070905","          5442908928.55","      79318"
"MARUTI","EQ","27-Apr-2020","       5045.65","       5150.10","       5225.00","       4991.55","       5056.40","       5056.35","       5126.94","    1432342","          7343531404.50","     114838"
"MARUTI","EQ","28-Apr-2020","       5056.35","       5090.00","       5120.00","       4990.25","       5050.10","       5052.70","       5039.02","    1172062","          5906042783.00","     104156"
"MARUTI","EQ","29-Apr-2020","       5052.70","       5100.00","       5100.00","       5011.05","       5055.00","       5068.45","       5059.57","    1038100","          5252340581.75","      85789"
"MARUTI","EQ","30-Apr-2020","       5068.45","       5122.00","       5425.00","       5122.00","       5343.00","       5358.80","       5331.09","    2341400","         12482215133.05","     239910"
"MARUTI","EQ","04-May-2020","       5358.80","       5096.00","       5130.25","       4840.00","       4914.45","       4886.30","       4947.33","    1742871","          8622560854.95","     176618"
"MARUTI","EQ","05-May-2020","       4886.30","       4995.00","       5029.55","       4800.00","       4835.00","       4829.85","       4879.35","    1570620","          7663601550.40","     122623"
"MARUTI","EQ","06-May-2020","       4829.85","       4841.20","       5000.00","       4710.00","       4841.95","       4843.25","       4854.89","    2214534","         10751328639.55","     144640"
"MARUTI","EQ","07-May-2020","       4843.25","       4899.50","       4935.35","       4735.00","       4751.65","       4749.30","       4828.35","    1530824","          7391354582.95","     120915"
"MARUTI","EQ","08-May-2020","       4749.30","       4874.00","       4879.00","       4637.50","       4660.00","       4654.15","       4710.00","    1828146","          8610563200.60","     138370"
"MARUTI","EQ","11-May-2020","       4654.15","       4750.00","       5014.60","       4730.15","       4923.00","       4937.80","       4915.93","    3176498","         15615444377.30","     290010"
"MARUTI","EQ","12-May-2020","       4937.80","       4914.00","       4985.00","       4690.05","       4951.95","       4951.30","       4848.14","    3124772","         15149326903.70","     229570"
